,State,District count,Statewise_population
0,JAMMU AND KASHMIR,22,12541302
1,HIMACHAL PRADESH,12,6864602
2,PUNJAB,20,27743338
3,CHANDIGARH,1,1055450
4,UTTARAKHAND,13,10086292
5,HARYANA,21,25351462
6,NCT OF DELHI,9,16787941
7,RAJASTHAN,33,68548437
8,UTTAR PRADESH,71,199812341
9,BIHAR,38,104099452
10,SIKKIM,4,610577
11,ARUNACHAL PRADESH,16,1383727
12,NAGALAND,11,1978502
13,MANIPUR,9,2855794
14,MIZORAM,8,1097206
15,TRIPURA,4,3673917
16,MEGHALAYA,7,2966889
17,ASSAM,27,31205576
18,WEST BENGAL,19,91276115
19,JHARKHAND,24,32988134
20,ORISSA,30,41974218
21,CHHATTISGARH,18,25545198
22,MADHYA PRADESH,50,72626809
23,GUJARAT,26,60439692
24,DAMAN AND DIU,2,243247
25,DADRA AND NAGAR HAVELI,1,343709
26,MAHARASHTRA,35,112374333
27,ANDHRA PRADESH,23,84580777
28,KARNATAKA,30,61095297
29,GOA,2,1458545
30,LAKSHADWEEP,1,64473
31,KERALA,14,33406061
32,TAMIL NADU,32,72147030
33,PONDICHERRY,4,1247953
34,ANDAMAN AND NICOBAR ISLANDS,3,380581
